Local Time,Demand
01Jan2023 0:00:00,"27,783"
01Jan2023 1:00:00,"26,548"
01Jan2023 2:00:00,"25,642"
01Jan2023 3:00:00,"25,005"
01Jan2023 4:00:00,"24,454"
01Jan2023 5:00:00,"24,041"
01Jan2023 6:00:00,"24,162"
01Jan2023 7:00:00,"24,558"
01Jan2023 8:00:00,"24,877"
01Jan2023 9:00:00,"24,843"
01Jan2023 10:00:00,"24,336"
01Jan2023 11:00:00,"23,779"
01Jan2023 12:00:00,"23,625"
01Jan2023 13:00:00,"23,618"
01Jan2023 14:00:00,"23,694"
01Jan2023 15:00:00,"24,079"
01Jan2023 16:00:00,"24,241"
01Jan2023 17:00:00,"25,395"
01Jan2023 18:00:00,"27,599"
01Jan2023 19:00:00,"30,059"
01Jan2023 20:00:00,"30,376"
01Jan2023 21:00:00,"30,365"
01Jan2023 22:00:00,"29,776"
01Jan2023 23:00:00,"29,162"
02Jan2023 0:00:00,"27,907"
02Jan2023 1:00:00,"26,360"
02Jan2023 2:00:00,"25,782"
02Jan2023 3:00:00,"24,988"
02Jan2023 4:00:00,"24,508"
02Jan2023 5:00:00,"24,578"
02Jan2023 6:00:00,"24,927"
02Jan2023 7:00:00,"25,994"
02Jan2023 8:00:00,"27,290"
02Jan2023 9:00:00,"27,981"
02Jan2023 10:00:00,"27,952"
02Jan2023 11:00:00,"28,504"
02Jan2023 12:00:00,"28,675"
02Jan2023 13:00:00,"29,608"
02Jan2023 14:00:00,"29,823"
02Jan2023 15:00:00,"30,640"
02Jan2023 16:00:00,"31,471"
02Jan2023 17:00:00,"31,830"
02Jan2023 18:00:00,"33,104"
02Jan2023 19:00:00,"34,312"
02Jan2023 20:00:00,"34,031"
02Jan2023 21:00:00,"33,237"
02Jan2023 22:00:00,"32,255"
02Jan2023 23:00:00,"31,161"
03Jan2023 0:00:00,"29,398"
03Jan2023 1:00:00,"27,789"
03Jan2023 2:00:00,"26,755"
03Jan2023 3:00:00,"26,159"
03Jan2023 4:00:00,"26,057"
03Jan2023 5:00:00,"25,958"
03Jan2023 6:00:00,"26,298"
03Jan2023 7:00:00,"28,039"
03Jan2023 8:00:00,"30,251"
03Jan2023 9:00:00,"31,604"
03Jan2023 10:00:00,"32,679"
03Jan2023 11:00:00,"32,596"
03Jan2023 12:00:00,"32,526"
03Jan2023 13:00:00,"32,079"
03Jan2023 14:00:00,"32,062"
03Jan2023 15:00:00,"31,938"
03Jan2023 16:00:00,"31,804"
03Jan2023 17:00:00,"32,467"
03Jan2023 18:00:00,"33,469"
03Jan2023 19:00:00,"34,875"
03Jan2023 20:00:00,"34,428"
03Jan2023 21:00:00,"33,818"
03Jan2023 22:00:00,"33,059"
03Jan2023 23:00:00,"31,902"
04Jan2023 0:00:00,"30,045"
04Jan2023 1:00:00,"28,583"
04Jan2023 2:00:00,"27,725"
04Jan2023 3:00:00,"27,012"
04Jan2023 4:00:00,"26,528"
04Jan2023 5:00:00,"26,209"
04Jan2023 6:00:00,"26,716"
04Jan2023 7:00:00,"27,655"
04Jan2023 8:00:00,"29,506"
04Jan2023 9:00:00,"31,123"
04Jan2023 10:00:00,"32,094"
04Jan2023 11:00:00,"31,994"
04Jan2023 12:00:00,"32,232"
04Jan2023 13:00:00,"32,055"
04Jan2023 14:00:00,"31,758"
04Jan2023 15:00:00,"31,599"
04Jan2023 16:00:00,"31,294"
04Jan2023 17:00:00,"31,380"
04Jan2023 18:00:00,"32,462"
